,playerID,yearID,POS,G,InnOuts,PO,A,E,DP,birthYear,age,Range Factor,Fielding %,RF Yearly Avg
32800,butlejo02,1926,SS,102,,243,317,30.0,43,1893.0,33.0,5.490196078431373,94.91525423728814,4.458702649258586
82971,yountro01,1983,SS,139,3703.0,256,420,19.0,86,1955.0,28.0,4.863309352517986,97.2661870503597,4.015622892459239
82995,anderda02,1984,SS,111,2622.0,169,334,18.0,63,1960.0,24.0,4.531531531531532,96.54510556621881,4.065527914104143
28941,gerbewa01,1920,SS,154,,288,513,52.0,65,1891.0,29.0,5.201298701298701,93.90386869871044,4.625885645914914
77815,templga01,1979,SS,150,3944.0,292,525,34.0,102,1956.0,23.0,5.446666666666666,96.00470035252644,4.113890132095312
113676,cintral01,2004,SS,133,3297.0,141,382,15.0,61,1978.0,26.0,3.9323308270676693,97.21189591078067,4.024608552337825
77810,taverfr01,1979,SS,153,3967.0,270,438,25.0,88,1949.0,30.0,4.627450980392157,96.58935879945429,4.113890132095312
46683,coxbi02,1947,SS,129,,220,388,20.0,63,1919.0,28.0,4.713178294573644,96.81528662420382,4.2240656455749654
113616,cabreor01,2004,SS,101,2603.0,147,290,7.0,69,1974.0,30.0,4.326732673267327,98.42342342342343,4.024608552337825
77756,speiech01,1979,SS,112,2847.0,194,355,17.0,52,1950.0,29.0,4.901785714285714,96.99646643109541,4.113890132095312
77743,smithoz01,1979,SS,155,4017.0,256,555,20.0,86,1954.0,25.0,5.232258064516129,97.59326113116727,4.113890132095312
77738,smallro02,1979,SS,161,4237.0,296,572,29.0,144,1952.0,27.0,5.391304347826087,96.7670011148272,4.113890132095312
106408,weisswa01,1999,SS,102,2076.0,108,203,12.0,41,1963.0,36.0,3.049019607843137,96.28482972136223,4.037387926227994
50068,boonera01,1952,SS,96,,177,251,27.0,55,1923.0,29.0,4.458333333333333,94.06593406593406,4.4379332837716525
28918,fletcar01,1920,SS,102,,223,368,26.0,47,1885.0,35.0,5.794117647058823,95.78606158833063,4.625885645914914
114418,matsuka01,2004,SS,110,2825.0,174,323,23.0,65,1975.0,29.0,4.5181818181818185,95.57692307692308,4.024608552337825
77599,pryorgr01,1979,SS,119,2777.0,161,362,21.0,54,1949.0,30.0,4.394957983193278,96.13970588235294,4.113890132095312
106313,tejadmi01,1999,SS,159,4132.0,292,471,21.0,110,1974.0,25.0,4.79874213836478,97.32142857142857,4.037387926227994
